Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
BEL 48-0154,State of Washington US President & Vice President,48,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,18
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,220
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 34-1526,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,55
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,551
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 34-1527,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,3
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,26
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,222
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",3
SEA 34-1529,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,59
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,526
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,,Write-in,2
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",5
SEA 34-1530,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,4
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,36
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,197
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 34-1532,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,35
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,161
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SEA 34-1533,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,44
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,272
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",3
SEA 34-1534,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
SEA 34-1535,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
