Precinct,Registered Voters,Ballots Cast,Donald J. Trump & Michael R. Pence,Hillary R. Clinton & Timothy M. Kaine,Gary Johnson & Bill Weld,Jill Stein & Ajamu Baraka,Total Votes
Niles 2,"1,337",890,325,508,23,17,873
Niles 3,"1,480","1,131",391,619,63,9,"1,082"
Niles 4,"1,007",669,250,389,7,8,654
Niles 5,734,455,176,260,5,5,446
Niles 6,998,690,295,341,28,6,670
Niles 7,"1,498","1,078",262,770,21,10,"1,063"
Niles 8,479,330,76,231,6,3,316
Niles 9,685,527,213,289,11,1,514
Niles 10,"1,167",808,231,523,23,22,799
Niles 11,521,400,122,236,22,4,384
Niles 12,838,565,121,425,8,6,560
Niles 13,"1,187",835,342,432,26,14,814
Niles 14,"1,192",899,172,672,22,13,879
Niles 15,"1,224",846,225,569,15,21,830
Niles 16,"1,438",998,234,712,16,13,975
Niles 17,"1,182",836,176,604,25,11,816
Niles 18,596,464,75,356,12,9,452
Niles 19,"1,057",784,229,473,33,7,742
Niles 20,969,686,208,433,25,6,672
Niles 21,"1,358","1,023",147,801,30,12,990
Niles 22,"1,097",730,210,480,15,13,718
Niles 23,"1,064",776,184,544,19,8,755
Niles 24,"1,410",928,240,657,13,7,917
Niles 25,683,477,117,330,19,8,474
Niles 26,"1,306",882,293,531,27,13,864
Niles 27,"1,034",696,121,535,9,19,684
Niles 28,974,768,144,563,27,8,742
Niles 29,734,528,117,390,6,2,515
Niles 30,980,638,197,404,7,12,620
Niles 31,"1,010",787,147,584,23,20,774
Niles 32,471,362,99,246,6,3,354
Niles 33,"1,240",904,147,693,21,23,884
Niles 34,"1,087",770,187,539,15,9,750
Niles 35,"1,158",838,225,568,20,14,827
Niles 36,695,488,77,387,10,7,481
Niles 37,"1,083",755,169,548,20,10,747
Niles 38,"1,832","1,259",370,798,47,17,"1,232"
Niles 39,"1,189",867,238,588,15,13,854
Niles 40,556,414,160,228,15,3,406
Niles 41,"1,248",863,207,616,16,9,848
Niles 42,"1,138",740,155,545,16,8,724
Niles 43,"1,446",976,378,545,19,15,957
Niles 44,"1,222",857,171,657,2,11,841
Niles 45,764,562,121,407,11,9,548
Niles 46,"1,317",859,249,565,17,12,843
Niles 47,577,431,74,320,15,4,413
Niles 48,"1,111",739,157,551,10,9,727
Niles 49,"1,109",892,90,757,22,9,878
Niles 50,"1,239",871,274,548,25,13,860
Niles 51,740,454,147,288,11,4,450
Niles 52,892,624,192,405,6,12,615
Niles 53,"1,375","1,031",256,715,30,10,"1,011"
Niles 54,628,467,131,295,24,5,455
Niles 55,623,448,74,351,11,6,442
Niles 56,"1,333",957,333,576,19,7,935
Niles 57,"1,289",921,281,583,27,16,907
Niles 58,"1,225",841,250,541,30,12,833
Niles 59,"1,487","1,073",317,690,24,19,"1,050"
Niles 60,"1,569","1,105",291,773,12,10,"1,086"
Niles 61,"1,507","1,054",276,724,16,9,"1,025"
Niles 62,685,480,118,343,4,11,476
Niles 63,"1,205",866,167,659,21,8,855
Niles 64,"1,469","1,025",248,718,22,11,999
Northfield 1,"1,398",965,314,612,17,6,949
Northfield 2,880,725,202,442,33,13,690
Northfield 3,757,531,153,344,17,4,518
Northfield 4,986,762,270,433,39,5,747
Northfield 5,737,563,245,278,26,3,552
Northfield 6,"1,044",814,302,405,59,3,769
Northfield 7,"1,324","1,055",302,660,39,8,"1,009"
Northfield 8,"1,116",843,320,430,44,14,808
Northfield 9,725,570,203,299,38,8,548
Northfield 10,905,693,194,444,32,7,677
Northfield 11,568,443,144,272,11,5,432
Northfield 12,"1,479","1,207",423,655,63,14,"1,155"
Northfield 13,894,671,238,388,22,10,658
Northfield 14,789,609,196,369,19,5,589
Northfield 15,702,588,149,377,29,7,562
Northfield 16,"1,119",891,249,578,34,6,867
Northfield 17,873,668,180,451,15,6,652
Northfield 18,"1,280","1,003",247,672,43,11,973
Northfield 19,996,788,242,471,37,11,761
Northfield 20,925,727,227,447,21,6,701
Northfield 21,"1,350","1,078",314,651,49,16,"1,030"
Northfield 22,"1,035",819,204,559,22,8,793
Northfield 23,809,576,227,278,37,4,546
Northfield 24,863,700,222,408,40,8,678
Northfield 25,912,685,222,409,21,7,659
Northfield 26,836,671,184,435,24,11,654
Northfield 27,"1,160",762,231,490,17,10,748
Northfield 28,"1,492","1,147",330,720,46,13,"1,109"
Northfield 29,794,649,177,413,30,7,627
Northfield 30,993,816,228,487,51,6,772
Northfield 31,"1,257",964,370,493,55,10,928
Northfield 32,"1,357","1,086",321,679,39,16,"1,055"
Northfield 33,783,525,193,309,10,5,517
Northfield 34,766,612,207,343,32,2,584
Northfield 35,966,791,291,422,39,7,759
Northfield 36,736,556,185,332,22,5,544
Northfield 37,"1,148",883,322,477,46,7,852
Northfield 38,795,622,191,376,30,12,609
Northfield 39,599,445,164,259,15,3,441
Northfield 40,690,499,193,274,13,7,487
Northfield 41,863,675,182,432,30,6,650
Northfield 42,868,671,260,340,29,7,636
Northfield 43,"1,030",780,193,551,16,1,761
Northfield 44,725,568,158,359,34,5,556
Northfield 45,"1,202",929,262,575,45,14,896
Northfield 46,"1,243","1,001",282,607,74,15,978
Northfield 47,"1,191",981,249,669,31,4,953
Northfield 48,973,745,257,428,34,7,726
Northfield 49,779,603,139,427,21,3,590
Northfield 50,"1,272",954,327,565,34,12,938
Northfield 51,"2,180","1,740",573,"1,004",86,14,"1,677"
Northfield 52,872,686,196,419,30,9,654
Northfield 53,979,767,205,536,9,1,751
Northfield 54,790,593,106,459,9,6,580
Northfield 55,987,673,119,515,12,3,649
Northfield 56,"1,256",970,360,522,40,18,940
Northfield 57,700,520,177,310,17,12,516
Northfield 58,561,431,154,247,12,4,417
Northfield 59,982,742,231,467,27,5,730
Northfield 60,"1,052",843,191,612,19,6,828
Northfield 61,755,569,229,307,13,4,553
Northfield 62,"1,057",836,247,500,46,9,802
Norwood Park 1,"1,154",753,292,427,14,12,745
Norwood Park 2,"1,058",726,320,353,24,18,715
Norwood Park 3,980,762,270,440,26,7,743
Norwood Park 4,"1,275",855,412,394,23,7,836
Norwood Park 5,931,612,297,274,21,8,600
Norwood Park 6,"1,382",978,482,425,29,11,947
Norwood Park 7,926,624,312,269,18,8,607
Norwood Park 8,737,524,285,200,16,7,508
Norwood Park 9,701,506,248,223,19,4,494
Norwood Park 10,695,496,277,191,8,4,480
Norwood Park 11,"1,217",955,353,503,49,8,913
Norwood Park 12,865,591,255,296,22,6,579
Norwood Park 13,891,610,313,262,20,11,606
Norwood Park 14,773,603,210,343,24,7,584
Norwood Park 15,873,567,251,278,14,7,550
Norwood Park 16,799,534,242,264,9,8,523
Norwood Park 17,994,687,305,328,18,15,666
Oak Park 1,772,626,29,557,16,14,616
Oak Park 2,"1,223","1,022",126,821,43,12,"1,002"
Oak Park 3,"1,320","1,084",103,912,24,22,"1,061"
Oak Park 4,"1,156",958,142,746,36,13,937
Oak Park 5,"1,128",944,106,779,31,8,924
Oak Park 6,"1,300","1,084",77,940,28,16,"1,061"
Oak Park 7,736,644,60,545,28,6,639
Oak Park 8,985,805,42,725,15,13,795
Oak Park 9,657,566,35,496,17,11,559
Oak Park 10,972,823,80,703,20,9,812
Oak Park 11,940,782,55,673,24,14,766
Oak Park 12,539,464,54,366,19,16,455
Oak Park 13,"1,038",852,51,751,17,21,840
Oak Park 14,"1,090",907,93,743,37,14,887
Oak Park 15,"1,314","1,071",60,937,23,26,"1,046"
Oak Park 16,"1,397","1,192",109,995,49,14,"1,167"
Oak Park 17,"1,478","1,202",124,990,41,19,"1,174"
Oak Park 18,886,749,109,580,29,15,733
Oak Park 19,"1,075",885,97,725,33,17,872
Oak Park 20,"1,380","1,158",131,952,37,13,"1,133"
Oak Park 21,756,630,47,547,15,13,622
Oak Park 22,706,573,50,480,16,12,558
Oak Park 23,969,811,81,662,28,12,783
Oak Park 24,700,623,75,500,26,4,605
Oak Park 25,942,769,79,641,27,14,761
Oak Park 26,862,716,43,637,16,10,706
Oak Park 27,328,280,34,223,8,8,273
Oak Park 28,"1,290","1,087",96,911,27,22,"1,056"
Oak Park 29,888,751,82,615,27,16,740
Oak Park 30,"1,216",990,57,866,17,26,966
Oak Park 31,"1,479","1,290",114,"1,088",43,21,"1,266"
Oak Park 32,704,580,37,519,9,6,571
Oak Park 33,957,777,71,665,10,18,764
Oak Park 34,861,721,71,597,26,16,710
Oak Park 35,"1,255","1,037",105,837,44,22,"1,008"
Oak Park 36,"1,216","1,001",96,835,32,20,983
Oak Park 37,665,550,57,456,13,17,543
Orland 1,"1,334",958,428,461,29,19,937
Orland 2,"1,117",847,446,343,27,11,827
Orland 3,651,437,178,227,9,8,422
Orland 4,734,518,256,215,24,6,501
Orland 5,712,508,252,217,17,8,494
Orland 6,637,460,207,207,27,9,450
Orland 7,636,433,204,192,18,8,422
Orland 8,920,594,296,260,16,15,587
Orland 9,"1,176",830,392,386,21,13,812
Orland 10,"1,003",692,330,316,16,14,676
Orland 11,680,499,238,230,19,6,493
Orland 12,502,352,182,144,10,9,345
Orland 13,"1,279",918,415,458,21,9,903
Orland 14,"1,068",768,362,363,25,8,758
Orland 15,"1,295",929,511,334,46,16,907
Orland 16,"1,020",710,410,265,12,8,695
Orland 17,680,474,181,248,22,11,462
Orland 18,"1,188",861,417,403,26,4,850
Orland 19,707,509,235,226,19,8,488
Orland 20,581,379,221,135,10,4,370
Orland 21,"1,177",884,457,367,30,10,864
Orland 22,918,641,284,313,21,6,624
Orland 23,782,566,263,264,26,3,556
Orland 24,938,652,335,280,20,7,642
Orland 25,"1,545","1,149",549,534,30,6,"1,119"
Orland 26,925,629,304,288,23,5,620
Orland 27,698,483,226,221,21,7,475
Orland 28,698,516,279,194,20,9,502
Orland 29,"1,446","1,054",550,452,24,10,"1,036"
Orland 30,676,461,228,205,14,3,450
Orland 31,779,545,269,226,23,12,530
Orland 32,658,438,230,182,12,8,432
Orland 33,744,538,283,231,13,6,533
Orland 34,"1,078",791,434,320,14,7,775
Orland 35,"1,046",755,365,332,20,13,730
Orland 36,"1,312",883,370,450,27,19,866
Orland 37,992,763,399,331,20,5,755
Orland 38,612,400,174,197,13,6,390
Orland 39,749,562,293,242,11,6,552
Orland 40,"1,201",796,424,332,26,6,788
Orland 41,908,672,334,302,19,5,660
Orland 42,"1,068",788,365,367,24,11,767
Orland 43,865,634,283,309,21,9,622
Orland 44,818,592,295,266,12,12,585
Orland 45,895,670,343,279,28,6,656
Orland 46,791,556,268,251,16,6,541
Orland 47,"1,315",999,551,398,22,11,982
Orland 48,947,690,338,302,24,10,674
Orland 49,732,521,250,228,18,10,506
Orland 50,910,597,267,287,25,8,587
Orland 51,"1,156",850,419,348,44,15,826
Orland 52,963,698,385,275,14,8,682
Orland 53,728,571,271,254,21,8,554
Orland 54,"1,274",958,520,381,24,8,933
Orland 55,742,565,263,278,11,6,558
Orland 56,830,607,371,201,15,8,595
Orland 57,953,691,378,273,24,5,680
Orland 58,967,733,350,339,29,4,722
Orland 59,"1,002",724,360,318,24,10,712
Orland 60,644,501,243,231,13,5,492
Orland 61,799,582,310,230,28,6,574
Orland 62,"1,056",764,348,350,28,14,740
Orland 63,"1,005",778,414,318,29,4,765
Orland 64,"1,300",931,535,340,29,9,913
Orland 65,877,622,356,229,19,4,608
Orland 66,847,645,317,283,24,5,629
Orland 67,652,455,219,208,10,7,444
Orland 68,771,536,288,218,16,7,529
Orland 69,682,434,133,260,24,6,423
Orland 70,"1,190",872,409,412,25,14,860
Orland 71,867,666,407,211,18,10,646
Orland 72,796,570,255,276,19,10,560
Orland 73,"1,288",914,420,428,34,13,895
Orland 74,666,455,209,211,16,10,446
Orland 75,"1,065",817,490,259,36,11,796
Palatine 1,742,545,196,291,30,5,522
Palatine 2,"1,157",905,326,490,50,15,881
Palatine 3,817,617,331,228,20,6,585
Palatine 4,810,559,142,366,23,11,542
Palatine 5,"1,286",961,378,505,43,18,944
Palatine 6,"1,044",806,281,442,51,9,783
Palatine 7,991,764,279,399,51,16,745
Palatine 8,"1,041",790,266,431,53,19,769
Palatine 9,898,695,289,336,31,11,667
Palatine 10,"1,128",876,403,367,52,11,833
Palatine 11,889,649,218,363,34,13,628
Palatine 12,893,677,335,288,25,1,649
Palatine 13,"1,026",684,266,353,34,14,667
Palatine 14,892,680,264,349,32,10,655
Palatine 15,"1,067",802,302,428,42,12,784
Palatine 16,"1,069",651,167,427,32,10,636
Palatine 17,919,697,250,364,38,17,669
Palatine 18,680,516,189,279,29,7,504
Palatine 19,969,755,319,366,38,10,733
Palatine 20,951,651,167,414,33,19,633
Palatine 21,"1,220",907,365,465,43,15,888
Palatine 22,930,717,259,380,48,6,693
Palatine 23,642,520,267,204,21,4,496
Palatine 24,"1,210",868,366,441,31,7,845
Palatine 25,741,575,217,282,38,14,551
Palatine 26,"1,183",919,320,507,51,14,892
Palatine 27,808,574,177,355,22,5,559
Palatine 28,682,520,192,273,23,4,492
Palatine 29,"1,303",926,375,492,26,11,904
Palatine 30,743,565,203,313,26,6,548
Palatine 31,634,519,204,251,31,11,497
Palatine 32,894,715,295,362,31,10,698
Palatine 33,706,478,161,268,28,10,467
Palatine 34,"1,209",926,376,451,54,9,890
Palatine 35,822,649,225,359,32,9,625
Palatine 36,907,668,263,346,31,6,646
Palatine 37,"1,136",810,296,462,26,18,802
Palatine 38,849,684,310,319,32,5,666
Palatine 39,"1,369","1,049",414,546,48,18,"1,026"
Palatine 40,"1,379","1,077",421,552,59,17,"1,049"
Palatine 41,"1,255",987,369,531,41,9,950
Palatine 42,"1,124",868,347,464,31,8,850
Palatine 43,786,622,257,314,31,8,610
Palatine 44,"1,208",925,506,343,36,6,891
Palatine 45,761,594,239,282,28,13,562
Palatine 46,"1,093",848,319,445,36,12,812
Palatine 47,"1,010",774,309,400,30,13,752
Palatine 48,735,612,246,319,24,2,591
Palatine 49,687,530,243,232,28,7,510
Palatine 50,"1,360","1,070",424,532,61,21,"1,038"
Palatine 51,612,437,168,237,17,7,429
Palatine 52,943,724,326,341,27,9,703
Palatine 53,757,584,230,293,34,12,569
Palatine 54,"1,127",887,325,488,41,10,864
Palatine 55,688,534,217,271,23,3,514
Palatine 56,"1,071",825,314,444,44,14,816
Palatine 57,"1,284",975,344,527,58,21,950
Palatine 58,951,713,255,402,29,11,697
Palatine 59,"1,358","1,016",363,571,38,8,980
Palatine 60,"1,077",720,174,478,32,20,704
Palatine 61,693,497,154,300,18,14,486
