Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 168.0,0,317,661,137,1115,42.20
President and Vice President,Donald J. Trump,REP,PRECINCT 169.0,0,0,0,0,97,25.73
President and Vice President,Donald J. Trump,REP,PRECINCT 170.0,0,0,0,0,2,22.22
President and Vice President,Donald J. Trump,REP,PRECINCT 171.0,0,0,0,0,26,26.80
President and Vice President,Donald J. Trump,REP,PRECINCT 172.0,0,0,0,0,8,6.06
President and Vice President,Donald J. Trump,REP,PRECINCT 172.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 173.0,0,0,0,0,15,8.06
President and Vice President,Donald J. Trump,REP,PRECINCT 174.0,0,0,0,0,15,13.16
President and Vice President,Donald J. Trump,REP,PRECINCT 175.0,0,0,0,0,75,34.72
President and Vice President,Donald J. Trump,REP,PRECINCT 176.0,0,0,0,0,103,29.51
President and Vice President,Donald J. Trump,REP,PRECINCT 177.0,0,118,139,125,382,28.42
President and Vice President,Donald J. Trump,REP,PRECINCT 178.0,0,0,0,0,127,16.39
President and Vice President,Donald J. Trump,REP,PRECINCT 179.0,0,51,58,45,154,29.11
President and Vice President,Donald J. Trump,REP,PRECINCT 181.0,0,0,0,0,89,41.78
President and Vice President,Donald J. Trump,REP,PRECINCT 182.0,0,0,0,0,106,18.93
President and Vice President,Donald J. Trump,REP,PRECINCT 182.1,0,0,0,0,40,24.54
President and Vice President,Donald J. Trump,REP,PRECINCT 184.0,0,482,559,80,1121,46.57
President and Vice President,Donald J. Trump,REP,PRECINCT 187.0,0,0,0,0,32,15.53
President and Vice President,Donald J. Trump,REP,PRECINCT 191.0,0,169,229,45,443,51.33
President and Vice President,Donald J. Trump,REP,PRECINCT 196.0,0,0,0,0,146,7.94
President and Vice President,Donald J. Trump,REP,PRECINCT 196.2,0,0,0,0,64,10.58
President and Vice President,Donald J. Trump,REP,PRECINCT 198.0,0,205,338,79,622,51.28
President and Vice President,Donald J. Trump,REP,PRECINCT 199.0,0,0,0,0,189,24.23
President and Vice President,Donald J. Trump,REP,PRECINCT 200.0,0,345,619,170,1134,55.21
President and Vice President,Donald J. Trump,REP,PRECINCT 201.0,0,220,373,180,773,49.68
President and Vice President,Donald J. Trump,REP,PRECINCT 202.0,0,219,267,99,585,36.04
President and Vice President,Donald J. Trump,REP,PRECINCT 203.0,0,51,108,59,218,10.60
